case_id,crime_description,crime_category,location_type,victim_count,accused_count,weapon_used,intent,property_value,injury_level,keywords,predicted_bns_sections,applicable_bnss_procedures,applicable_bsa_evidence,punishment_range,case_outcome,case_duration_months,confidence_label
CP-CASE-100069,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 1212982.,Theft & Burglary,Rural Area,3,4,None,Personal Vendetta,1212982,None,"house break, night burglary, locker forced",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,33,Low
CP-CASE-100070,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Rural Area,1,3,Chemical Poison,Accidental / Negligence,56058,None,"extortion demand, kidnap, ransom call, forced custody",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,46,High
CP-CASE-100071,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Rural Area,2,2,Wooden Stick,Accidental / Negligence,0,Moderate (Stitch/Sprain),"bruises, beating, fight, scuffle, iron rod",Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,34,Medium
CP-CASE-100072,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Commercial,1,3,Kitchen Knife,Financial Gain,0,Fatal (Death),"motive, autopsy report, dead body found, murder",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,6,Medium
CP-CASE-100073,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Digital / Online,2,1,None,Spontaneous Argument,0,Severe (Fracture/Deep Cuts),"broken arm, iron rod, bleeding",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,8,High
CP-CASE-100074,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Residential,3,4,None,Jealousy / Crime of Passion,1808975,None,"thief, jewelry, robbery, gold chain, steal",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,29,Medium
CP-CASE-100075,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Residential,2,3,Chemical Poison,Accidental / Negligence,0,Minor (Scratches/Bruises),"broken arm, beating, scuffle, physical attack",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Acquittal,47,High
CP-CASE-100076,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Digital / Online,3,2,Country-made Gun,Jealousy / Crime of Passion,0,None,"hospitalized, bruises, scuffle",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,34,Medium
CP-CASE-100077,A business owner reported that an employee forged their signature on corporate checks and embezzled INR 1671024.,Cyber Crime & Fraud,Digital / Online,2,1,None,Accidental / Negligence,1671024,None,"email hacking, online scam, fake profile, fake website",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Referred to Mediation,45,Low
CP-CASE-100078,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Rural Area,1,3,Firearm / Pistol,Spontaneous Argument,0,Fatal (Death),"gunshot, murder, autopsy report, homicide, motive",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,21,Medium
CP-CASE-100079,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1279854 for his release.,Kidnapping & Abduction,Public Space,2,3,Kitchen Knife,Spontaneous Argument,1279854,None,"kidnap, extortion demand, unidentified vehicle, abducted from school",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,22,High
CP-CASE-100080,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 1223093.,Theft & Burglary,Public Space,2,4,None,Personal Vendetta,1223093,None,"robbery, jewelry, thief, house break, broken lock",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,38,High
CP-CASE-100081,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Digital / Online,2,2,None,Personal Vendetta,379038,None,"fake website, phishing, credit card fraud",Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Acquittal,45,Low
CP-CASE-100082,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Public Space,3,4,None,Spontaneous Argument,0,Moderate (Stitch/Sprain),"bleeding, hospitalized, physical attack, iron rod, stab wound",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,25,High
CP-CASE-100083,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Public Space,2,4,Iron Rod,Personal Vendetta,924999,None,"abducted from school, missing child, kidnap, extortion demand, held hostage",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,24,High
CP-CASE-100084,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Residential,1,2,Country-made Gun,Spontaneous Argument,0,Fatal (Death),"murder, fatal attack, motive, stabbed to death",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,11,High
CP-CASE-100085,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 1953083 from their bank account.",Cyber Crime & Fraud,Commercial,1,2,None,Financial Gain,1953083,None,"email hacking, fake website, ransomware, unauthorized transaction",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Settled / Compromised,7,High
CP-CASE-100086,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Residential,2,2,Wooden Stick,Financial Gain,1972796,None,"held hostage, forced custody, extortion demand",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,37,Low
CP-CASE-100087,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1206961 for his release.,Kidnapping & Abduction,Rural Area,2,4,None,Property Dispute,1206961,None,"held hostage, forced custody, ransom call, extortion demand",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,39,Low
CP-CASE-100088,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Rural Area,1,4,Wooden Stick,Accidental / Negligence,43644,None,"kidnap, extortion demand, forced custody, unidentified vehicle, abducted from school",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Conviction,14,Medium
CP-CASE-100089,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Public Space,3,4,None,Jealousy / Crime of Passion,1707051,None,"fake website, phishing, email hacking",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Acquittal,8,High
CP-CASE-100090,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1081837 reported.,Cyber Crime & Fraud,Digital / Online,2,1,None,Jealousy / Crime of Passion,1081837,None,"credit card fraud, forged signature, online scam",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,13,Medium
CP-CASE-100091,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,1,4,Chemical Poison,Spontaneous Argument,0,Fatal (Death),"homicide, dead body found, strangulation, poisoning",Section 103 (Culpable Homicide Not Amounting to Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Acquittal,44,Low
CP-CASE-100092,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 216163 from their bank account.",Cyber Crime & Fraud,Digital / Online,3,3,None,Accidental / Negligence,216163,None,"ransomware, cloned identity, fake website, forged signature",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,8,Low
CP-CASE-100093,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 1342064 from their bank account.",Cyber Crime & Fraud,Public Space,3,4,None,Accidental / Negligence,1342064,None,"fake website, online scam, ransomware, cloned identity, credit card fraud",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Conviction,14,High
CP-CASE-100094,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 803903 from their bank account.",Cyber Crime & Fraud,Residential,3,4,None,Accidental / Negligence,803903,None,"email hacking, phishing, fake website, credit card fraud",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,47,High
CP-CASE-100095,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 1543822.,Theft & Burglary,Residential,3,4,None,Property Dispute,1543822,None,"jewelry, locker forced, missing cash",Section 303 (Theft),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,18,High
CP-CASE-100096,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Commercial,2,3,Chemical Poison,Financial Gain,0,Fatal (Death),"homicide, dead body found, motive, fatal attack, strangulation",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,13,High
CP-CASE-100097,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Residential,2,2,Firearm / Pistol,Financial Gain,0,Fatal (Death),"dead body found, fatal attack, autopsy report",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Settled / Compromised,14,Low
